event,group_size,FRUgMn,IrTotAllUgC,PropIRbioUgC,IrTotUgCEvent,PropIRrBuTaxaPerEvent,PropIrBuEvent,IrTotUgCTaxa,PropIrBuTaxaTot
LSZ2,CenDiaLg,1.232716396,8.989440222,0.137129384,1.71586893,0.718421072,0.19087606,2.919515236,0.324771639
LSZ2,CenDiaSm,0.34217601,8.989440222,0.038064218,1.71586893,0.199418501,0.19087606,0.949897624,0.105668162
LSZ2,ChlLg,,8.989440222,,1.71586893,,0.19087606,0,0
LSZ2,ChlSm,,8.989440222,,1.71586893,,0.19087606,0.011077528,0.001232282
LSZ2,ChnDiaLg,,8.989440222,,1.71586893,,0.19087606,0.069381708,0.007718134
LSZ2,CilLg,0.069955206,8.989440222,0.007781931,1.71586893,0.040769551,0.19087606,4.079082911,0.45376384
LSZ2,CilSm,0.011183206,8.989440222,0.001244038,1.71586893,0.006517518,0.19087606,0.300737544,0.033454535
LSZ2,FlagLg,,8.989440222,,1.71586893,,0.19087606,0.252415912,0.028079158
LSZ2,FlagSm,0.057933648,8.989440222,0.006444634,1.71586893,0.033763446,0.19087606,0.194649114,0.021653085
LSZ2,PenDiaLg,,8.989440222,,1.71586893,,0.19087606,0.099935246,0.01111696
LSZ2,PenDiaSm,0.000908798,8.989440222,0.000101096,1.71586893,0.000529643,0.19087606,0.024637879,0.002740758
LSZ2,UnidLg,,8.989440222,,1.71586893,,0.19087606,0.003391618,0.000377289
LSZ2,UnidSm,0.000995666,8.989440222,0.00011076,1.71586893,0.000580269,0.19087606,0.060215009,0.006698416
SJR1,CenDiaLg,1.195213429,8.989440222,0.132957492,1.465968405,0.815306405,0.163076718,2.919515236,0.324771639
SJR1,CenDiaSm,0.090824773,8.989440222,0.010103496,1.465968405,0.061955478,0.163076718,0.949897624,0.105668162
SJR1,ChlLg,,8.989440222,,1.465968405,,0.163076718,0,0
SJR1,ChlSm,,8.989440222,,1.465968405,,0.163076718,0.011077528,0.001232282
SJR1,ChnDiaLg,,8.989440222,,1.465968405,,0.163076718,0.069381708,0.007718134
SJR1,CilLg,0.10853323,8.989440222,0.012073414,1.465968405,0.074035177,0.163076718,4.079082911,0.45376384
SJR1,CilSm,0.066134396,8.989440222,0.007356898,1.465968405,0.045113111,0.163076718,0.300737544,0.033454535
SJR1,FlagLg,,8.989440222,,1.465968405,,0.163076718,0.252415912,0.028079158
SJR1,FlagSm,0.005238251,8.989440222,0.000582712,1.465968405,0.003573236,0.163076718,0.194649114,0.021653085
SJR1,PenDiaLg,,8.989440222,,1.465968405,,0.163076718,0.099935246,0.01111696
SJR1,PenDiaSm,2.43252E-05,8.989440222,2.70598E-06,1.465968405,1.65933E-05,0.163076718,0.024637879,0.002740758
SJR1,UnidLg,-0.085378522,8.989440222,,1.465968405,,0.163076718,0.003391618,0.000377289
SJR1,UnidSm,-0.004561755,8.989440222,,1.465968405,,0.163076718,0.060215009,0.006698416
SJR2,CenDiaLg,0.042996184,8.989440222,0.004782966,0.176984822,0.242937128,0.01968808,2.919515236,0.324771639
SJR2,CenDiaSm,0.017583693,8.989440222,0.001956039,0.176984822,0.099351417,0.01968808,0.949897624,0.105668162
SJR2,ChlLg,,8.989440222,,0.176984822,,0.01968808,0,0
SJR2,ChlSm,0.000717204,8.989440222,7.97829E-05,0.176984822,0.004052346,0.01968808,0.011077528,0.001232282
SJR2,ChnDiaLg,,8.989440222,,0.176984822,,0.01968808,0.069381708,0.007718134
SJR2,CilLg,0.045722668,8.989440222,0.005086264,0.176984822,0.25834231,0.01968808,4.079082911,0.45376384
SJR2,CilSm,0.015273213,8.989440222,0.001699017,0.176984822,0.086296742,0.01968808,0.300737544,0.033454535
SJR2,FlagLg,,8.989440222,,0.176984822,,0.01968808,0.252415912,0.028079158
SJR2,FlagSm,0.041718022,8.989440222,0.004640781,0.176984822,0.235715252,0.01968808,0.194649114,0.021653085
SJR2,PenDiaLg,,8.989440222,,0.176984822,,0.01968808,0.099935246,0.01111696
SJR2,PenDiaSm,0.002060083,8.989440222,0.000229167,0.176984822,0.011639883,0.01968808,0.024637879,0.002740758
SJR2,UnidLg,,8.989440222,,0.176984822,,0.01968808,0.003391618,0.000377289
SJR2,UnidSm,0.010913755,8.989440222,0.001214064,0.176984822,0.061664921,0.01968808,0.060215009,0.006698416
WLD2,CenDiaLg,0.008484122,8.989440222,0.000943788,0.07885954,0.107585228,0.008772464,2.919515236,0.324771639
WLD2,CenDiaSm,-0.001208396,8.989440222,,0.07885954,,0.008772464,0.949897624,0.105668162
WLD2,ChlLg,,8.989440222,,0.07885954,,0.008772464,0,0
WLD2,ChlSm,-0.000227715,8.989440222,,0.07885954,,0.008772464,0.011077528,0.001232282
WLD2,ChnDiaLg,,8.989440222,,0.07885954,,0.008772464,0.069381708,0.007718134
WLD2,CilLg,0.048279831,8.989440222,0.005370727,0.07885954,0.61222562,0.008772464,4.079082911,0.45376384
WLD2,CilSm,0.021541345,8.989440222,0.002396294,0.07885954,0.273160931,0.008772464,0.300737544,0.033454535
WLD2,FlagLg,,8.989440222,,0.07885954,,0.008772464,0.252415912,0.028079158
WLD2,FlagSm,-0.006758429,8.989440222,,0.07885954,,0.008772464,0.194649114,0.021653085
WLD2,PenDiaLg,,8.989440222,,0.07885954,,0.008772464,0.099935246,0.01111696
WLD2,PenDiaSm,0.000554242,8.989440222,6.16548E-05,0.07885954,0.007028221,0.008772464,0.024637879,0.002740758
WLD2,UnidLg,,8.989440222,,0.07885954,,0.008772464,0.003391618,0.000377289
WLD2,UnidSm,-0.005408094,8.989440222,,0.07885954,,0.008772464,0.060215009,0.006698416
YBP1,CenDiaLg,,8.989440222,,0.113220577,,0.012594842,2.919515236,0.324771639
