samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml,mn_ct
LSZ2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,,4,12,1.3
LSZ2,FC,chlorophyte colonial,chlorophyte colonial 32 32,32,32,,1,89,0.3
LSZ2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 14 20,14,20,,3,34,1.0
LSZ2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,6,1,2.0
LSZ2,FC,ciliate cone,ciliate cone 24 24,24,24,,575,5626,191.7
LSZ2,FC,ciliate cone,ciliate cone 32 36,32,36,,2,165,0.7
LSZ2,FC,ciliate cone,ciliate cone 40 48,40,48,,5,424,1.7
LSZ2,FC,ciliate oblong,ciliate oblong 40 56,40,56,,1,398,0.3
LSZ2,FC,ciliate round,ciliate round 14 14,14,14,,54,221,18.0
LSZ2,FC,ciliate round,ciliate round 24 24,24,24,,18,547,6.0
LSZ2,FC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,5,2,1.7
LSZ2,FC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,76,98,25.3
LSZ2,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,12,381,4.0
LSZ2,FC,diatom centric,diatom centric 14 14,14,14,,138,128,46.0
LSZ2,FC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,1897,5688,632.3
LSZ2,FC,diatom centric,diatom centric 40 40,40,40,,12,632,4.0
LSZ2,FC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,338,34,112.7
LSZ2,FC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,1028,270,342.7
LSZ2,FC,diatom chain,diatom chain 12 128,12,128,,1,24,0.3
LSZ2,FC,diatom chain,diatom chain 4 64,4,64,,3,5,1.0
LSZ2,FC,diatom chain,diatom chain 6 248,6,248,,1,12,0.3
LSZ2,FC,diatom chain,diatom chain 8 120,8,120,,6,53,2.0
LSZ2,FC,diatom chain,diatom chain 8 160,8,160,8,14,66,4.7
LSZ2,FC,diatom chain,diatom chain 8 408,8,408,,1,32,0.3
LSZ2,FC,diatom pennate,diatom pennate 1 20,1,20,1,34,1,11.3
LSZ2,FC,diatom pennate,diatom pennate 2 20,2,20,2,128,8,42.7
LSZ2,FC,diatom pennate,diatom pennate 3 20,3,20,3,15,4,5.0
LSZ2,FC,diatom pennate,diatom pennate 6 160,6,160,6,1,8,0.3
LSZ2,FC,diatom pennate fragillaria,diatom pennate fragillaria 64 80,64,80,64,1,298,0.3
LSZ2,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 16 184,16,184,16,3,95,1.0
LSZ2,FC,dinoflagellate peridinium,dinoflagellate peridinium 20 20,20,20,20,29,199,9.7
LSZ2,FC,flagellate cryptomonas,flagellate cryptomonas 16 24,16,24,,33,255,11.0
LSZ2,FC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,1367,91,455.7
LSZ2,FC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,387,131,129.0
LSZ2,FC,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,16,68,5.3
LSZ2,FC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,176,173,58.7
LSZ2,FC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,400,29,133.3
LSZ2,FC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,61,23,20.3
LSZ2,FC,flagellate other,flagellate other 9 14,9,14,,2,4,0.7
LSZ2,FC,tintinnid agglutinated,tintinnid agglutinated 20 40,20,40,,6,245,2.0
LSZ2,FC,tintinnid agglutinated,tintinnid agglutinated 24 56,24,56,,13,511,4.3
LSZ2,FC,unidentified flagchloro,unidentified flagchloro 3 26,3,26,,25,26,8.3
LSZ2,FC,unidentified flagchloro,unidentified flagchloro 4 26,4,26,,57,50,19.0
LSZ2,FC,unidentified NA,unidentified NA 20 40,20,40,,1,45,0.3
LSZ2,FC,unidentified round,unidentified round 16 16,16,16,,1,13,0.3
LSZ2,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,8,296,2.7
LSZ2,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,350,54,116.7
LSZ2,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,63,50,21.0
LSZ2,IC,chlorophyte colonial,chlorophyte colonial 32 104,32,104,,1,89,0.3
LSZ2,IC,chlorophyte colonial,chlorophyte colonial 40 40,40,40,,1,167,0.3
LSZ2,IC,chlorophyte pediastrum,chlorophyte pediastrum 40 40,40,40,40,1,225,0.3
LSZ2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,5,2,1.7
LSZ2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 8 10,8,10,,2,4,0.7
LSZ2,IC,ciliate cone,ciliate cone 24 24,24,24,,160,1549,53.3
LSZ2,IC,ciliate round,ciliate round 14 14,14,14,,17,69,5.7
LSZ2,IC,ciliate round,ciliate round 24 24,24,24,,2,124,0.7
LSZ2,IC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,7,2,2.3
LSZ2,IC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,15,19,5.0
LSZ2,IC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 4 80,4,80,,10,79,3.3
LSZ2,IC,diatom centric,diatom centric 14 14,14,14,,107,99,35.7
LSZ2,IC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,1956,5685,652.0
LSZ2,IC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,249,17,83.0
LSZ2,IC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,1024,261,341.3
LSZ2,IC,diatom chain,diatom chain 4 160,4,160,,6,19,2.0
LSZ2,IC,diatom chain,diatom chain 8 144,8,144,,10,97,3.3
LSZ2,IC,diatom chain,diatom chain 8 200,8,200,,10,68,3.3
LSZ2,IC,diatom pennate,diatom pennate 2 10,2,10,2,8,1,2.7
LSZ2,IC,diatom pennate,diatom pennate 2 16,2,16,2,52,5,17.3
LSZ2,IC,diatom pennate,diatom pennate 2 20,2,20,2,260,14,86.7
LSZ2,IC,diatom pennate,diatom pennate 6 120,6,120,,2,12,0.7
LSZ2,IC,diatom pennate,diatom pennate 6 80,6,80,,4,8,1.3
LSZ2,IC,diatom pennate,diatom pennate 8 144,8,144,8,5,28,1.7
LSZ2,IC,diatom pennate fragillaria,diatom pennate fragillaria 16 48,16,48,16,1,17,0.3
LSZ2,IC,diatom pennate fragillaria,diatom pennate fragillaria 48 64,48,64,48,1,136,0.3
LSZ2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 4 64,4,64,4,1,1,0.3
LSZ2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 80,8,80,8,1,5,0.3
LSZ2,IC,dinoflagellate peridinium,dinoflagellate peridinium 20 24,20,24,20,13,288,4.3
LSZ2,IC,dinoflagellate peridinium,dinoflagellate peridinium 24 24,24,24,24,16,279,5.3
LSZ2,IC,flagellate cryptomonas,flagellate cryptomonas 16 24,16,24,,33,246,11.0
LSZ2,IC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,1367,88,455.7
LSZ2,IC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,466,150,155.3
LSZ2,IC,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,39,157,13.0
LSZ2,IC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,148,143,49.3
LSZ2,IC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,383,27,127.7
LSZ2,IC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,38,14,12.7
LSZ2,IC,flagellate other,flagellate other 9 14,9,14,,7,24,2.3
LSZ2,IC,tintinnid agglutinated,tintinnid agglutinated 24 56,24,56,,2,168,0.7
LSZ2,IC,tintinnid agglutinated,tintinnid agglutinated 32 64,32,64,,1,171,0.3
LSZ2,IC,unidentified flagchloro,unidentified flagchloro 4 8,4,8,,2,1,0.7
