event,group_size,taxaGroup,FRUgMn,IrTotAllUgC,IrTotUgCEvent
LSZ2,CenDiaLg,CenDiaLg,1.232716277,9.00475256,1.715868765
LSZ2,CenDiaSm,CenDiaSm,0.34217598,9.00475256,1.715868765
LSZ2,ChlLg,Other,,9.00475256,1.715868765
LSZ2,ChlSm,Other,,9.00475256,1.715868765
LSZ2,ChnDiaLg,Other,,9.00475256,1.715868765
LSZ2,CilLg,CilLg,0.069955199,9.00475256,1.715868765
LSZ2,CilSm,CilSm,0.011183205,9.00475256,1.715868765
LSZ2,FlagLg,Other,,9.00475256,1.715868765
LSZ2,FlagSm,FlagSm,0.057933642,9.00475256,1.715868765
LSZ2,PenDiaLg,Other,,9.00475256,1.715868765
LSZ2,PenDiaSm,Other,0.000908798,9.00475256,1.715868765
LSZ2,UnidLg,Other,,9.00475256,1.715868765
LSZ2,UnidSm,Other,0.000995666,9.00475256,1.715868765
SJR1,CenDiaLg,CenDiaLg,1.195213313,9.00475256,1.465968262
SJR1,CenDiaSm,CenDiaSm,0.090824765,9.00475256,1.465968262
SJR1,ChlLg,Other,,9.00475256,1.465968262
SJR1,ChlSm,Other,,9.00475256,1.465968262
SJR1,ChnDiaLg,Other,,9.00475256,1.465968262
SJR1,CilLg,CilLg,0.108533219,9.00475256,1.465968262
SJR1,CilSm,CilSm,0.066134389,9.00475256,1.465968262
SJR1,FlagLg,Other,,9.00475256,1.465968262
SJR1,FlagSm,FlagSm,0.00523825,9.00475256,1.465968262
SJR1,PenDiaLg,Other,,9.00475256,1.465968262
SJR1,PenDiaSm,Other,2.43252E-05,9.00475256,1.465968262
SJR1,UnidLg,Other,-0.085378514,9.00475256,1.465968262
SJR1,UnidSm,Other,-0.004561754,9.00475256,1.465968262
SJR2,CenDiaLg,CenDiaLg,0.04299618,9.00475256,0.176984804
SJR2,CenDiaSm,CenDiaSm,0.017583691,9.00475256,0.176984804
SJR2,ChlLg,Other,,9.00475256,0.176984804
SJR2,ChlSm,Other,0.000717204,9.00475256,0.176984804
SJR2,ChnDiaLg,Other,,9.00475256,0.176984804
SJR2,CilLg,CilLg,0.045722663,9.00475256,0.176984804
SJR2,CilSm,CilSm,0.015273212,9.00475256,0.176984804
SJR2,FlagLg,Other,,9.00475256,0.176984804
SJR2,FlagSm,FlagSm,0.041718018,9.00475256,0.176984804
SJR2,PenDiaLg,Other,,9.00475256,0.176984804
SJR2,PenDiaSm,Other,0.002060083,9.00475256,0.176984804
SJR2,UnidLg,Other,,9.00475256,0.176984804
SJR2,UnidSm,Other,0.010913754,9.00475256,0.176984804
WLD2,CenDiaLg,CenDiaLg,0.008484121,9.00475256,0.078859532
WLD2,CenDiaSm,CenDiaSm,-0.001208396,9.00475256,0.078859532
WLD2,ChlLg,Other,,9.00475256,0.078859532
WLD2,ChlSm,Other,-0.000227715,9.00475256,0.078859532
WLD2,ChnDiaLg,Other,,9.00475256,0.078859532
WLD2,CilLg,CilLg,0.048279826,9.00475256,0.078859532
WLD2,CilSm,CilSm,0.021541343,9.00475256,0.078859532
WLD2,FlagLg,Other,,9.00475256,0.078859532
WLD2,FlagSm,FlagSm,-0.006758428,9.00475256,0.078859532
WLD2,PenDiaLg,Other,,9.00475256,0.078859532
WLD2,PenDiaSm,Other,0.000554242,9.00475256,0.078859532
WLD2,UnidLg,Other,,9.00475256,0.078859532
WLD2,UnidSm,Other,-0.005408094,9.00475256,0.078859532
YBP1,CenDiaLg,CenDiaLg,0.015313228,9.00475256,0.128533794
YBP1,CenDiaSm,CenDiaSm,0.000547352,9.00475256,0.128533794
YBP1,ChlLg,Other,,9.00475256,0.128533794
YBP1,ChlSm,Other,0.000306607,9.00475256,0.128533794
YBP1,ChnDiaLg,Other,,9.00475256,0.128533794
YBP1,CilLg,CilLg,0.053499332,9.00475256,0.128533794
YBP1,CilSm,CilSm,0.00889807,9.00475256,0.128533794
YBP1,FlagLg,Other,,9.00475256,0.128533794
YBP1,FlagSm,FlagSm,0.04280558,9.00475256,0.128533794
YBP1,PenDiaLg,Other,0.002880319,9.00475256,0.128533794
YBP1,PenDiaSm,Other,0.000377767,9.00475256,0.128533794
YBP1,UnidLg,Other,0.000307138,9.00475256,0.128533794
YBP1,UnidSm,Other,0.003598401,9.00475256,0.128533794
YBP2,CenDiaLg,CenDiaLg,0.440105064,9.00475256,5.414034512
YBP2,CenDiaSm,CenDiaSm,0.498765751,9.00475256,5.414034512
YBP2,ChlLg,Other,,9.00475256,5.414034512
YBP2,ChlSm,Other,0.010053716,9.00475256,5.414034512
YBP2,ChnDiaLg,Other,0.069381701,9.00475256,5.414034512
YBP2,CilLg,CilLg,3.753092251,9.00475256,5.414034512
YBP2,CilSm,CilSm,0.177707293,9.00475256,5.414034512
YBP2,FlagLg,Other,0.252415887,9.00475256,5.414034512
YBP2,FlagSm,FlagSm,0.046953605,9.00475256,5.414034512
YBP2,PenDiaLg,Other,0.09705492,9.00475256,5.414034512
YBP2,PenDiaSm,Other,0.020712662,9.00475256,5.414034512
YBP2,UnidLg,Other,0.003084479,9.00475256,5.414034512
YBP2,UnidSm,Other,0.044707182,9.00475256,5.414034512
