event,group_size,taxaGroup,FRUgMn,IrTotAllUgC,PropIRbioUgC,IrTotUgCEvent,PropIRrBuTaxaPerEvent,PropIrBuEvent,IrTotUgCTaxa,PropIrBuTaxaTot,,
LSZ2,CenDiaLg,CenDiaLg,1.232716277,9.00475256,0.136896186,1.715868765,0.718421071,0.190551462,2.934828183,0.325919914,,
LSZ2,CenDiaSm,CenDiaSm,0.34217598,9.00475256,0.037999487,1.715868765,0.199418503,0.190551462,0.949897539,0.105488467,,
LSZ2,CilLg,CilLg,0.069955199,9.00475256,0.007768698,1.715868765,0.040769551,0.190551462,4.079082489,0.45299218,,
LSZ2,CilSm,CilSm,0.011183205,9.00475256,0.001241923,1.715868765,0.006517518,0.190551462,0.300737513,0.033397643,,
LSZ2,FlagSm,FlagSm,0.057933642,9.00475256,0.006433674,1.715868765,0.033763446,0.190551462,0.194649094,0.021616262,,
LSZ2,Other,Other,0.001904463,9.00475256,,1.715868765,0.001109912,0.190551462,0,0,,1
SJR1,CenDiaLg,CenDiaLg,1.195213313,9.00475256,0.132731389,1.465968262,0.815306405,0.162799394,2.934828183,0.325919914,,
SJR1,CenDiaSm,CenDiaSm,0.090824765,9.00475256,0.010086314,1.465968262,0.061955479,0.162799394,0.949897539,0.105488467,,
SJR1,CilLg,CilLg,0.108533219,9.00475256,0.012052882,1.465968262,0.074035177,0.162799394,4.079082489,0.45299218,,
SJR1,CilSm,CilSm,0.066134389,9.00475256,0.007344387,1.465968262,0.045113111,0.162799394,0.300737513,0.033397643,,
SJR1,FlagSm,FlagSm,0.00523825,9.00475256,0.000581721,1.465968262,0.003573236,0.162799394,0.194649094,0.021616262,,
SJR1,Other,Other,0.0000243,9.00475256,2.70138E-06,1.465968262,0.0000166,0.162799394,0.024637877,0.002736097,,1
SJR2,CenDiaLg,CenDiaLg,0.04299618,9.00475256,0.004774832,0.176984804,0.24293713,0.162799394,0.003391617,0.000376647,,
SJR2,CenDiaSm,CenDiaSm,0.017583691,9.00475256,0.001952712,0.176984804,0.099351418,0.162799394,0.060215003,0.006687025,,
SJR2,CilLg,CilLg,0.045722663,9.00475256,0.005077615,0.176984804,0.258342309,0.019654599,2.934828183,0.325919914,,
SJR2,CilSm,CilSm,0.015273212,9.00475256,0.001696128,0.176984804,0.086296741,0.019654599,0.949897539,0.105488467,,
SJR2,FlagSm,FlagSm,0.041718018,9.00475256,0.004632889,0.176984804,0.235715251,0.019654599,4.079082489,0.45299218,,
SJR2,Other,Other,0.01369104,9.00475256,,0.176984804,0.07735715,0.019654599,0.300737513,0.033397643,,1
WLD2,CenDiaLg,CenDiaLg,0.008484121,9.00475256,0.000942183,0.078859532,0.10758523,0.019654599,0.194649094,0.021616262,,
WLD2,CenDiaSm,CenDiaSm,-0.001208396,9.00475256,,0.078859532,,0.019654599,0,0,,
WLD2,CilLg,CilLg,0.048279826,9.00475256,0.005361594,0.078859532,0.612225619,0.019654599,0.011077527,0.001230187,,
WLD2,CilSm,CilSm,0.021541343,9.00475256,0.002392219,0.078859532,0.273160931,0.019654599,0.069381701,0.007705009,,
WLD2,FlagSm,FlagSm,-0.006758428,9.00475256,,0.078859532,,0.019654599,0.252415887,0.028031407,,
WLD2,PenDiaSm,Other,0.000554242,9.00475256,6.155E-05,0.078859532,0.007028221,0.008757546,0.949897539,0.105488467,,1
YBP1,CenDiaLg,CenDiaLg,0.015313228,9.00475256,0.001700572,0.128533794,0.119137762,0.008757546,0.194649094,0.021616262,,
YBP1,CenDiaSm,CenDiaSm,0.000547352,9.00475256,6.07848E-05,0.128533794,0.004258426,0.008757546,0,0,,
YBP1,CilLg,CilLg,0.053499332,9.00475256,0.005941233,0.128533794,0.416227748,0.008757546,0.011077527,0.001230187,,
YBP1,CilSm,CilSm,0.00889807,9.00475256,0.000988153,0.128533794,0.069227479,0.008757546,0.069381701,0.007705009,,
YBP1,FlagSm,FlagSm,0.04280558,9.00475256,0.004753665,0.128533794,0.333029771,0.008757546,0.252415887,0.028031407,,
YBP1,Other,Other,0.007092465,9.00475256,,0.128533794,0.055179766,0.008757546,0.099935238,0.011098055,,0.997060953
YBP2,CenDiaLg,CenDiaLg,0.440105064,9.00475256,0.048874754,5.414034512,0.081289667,0.014273995,0.194649094,0.021616262,,
YBP2,CenDiaSm,CenDiaSm,0.498765751,9.00475256,0.055389168,5.414034512,0.092124598,0.014273995,0,0,,
YBP2,CilLg,CilLg,3.753092251,9.00475256,0.416790159,5.414034512,0.693215428,0.014273995,0.011077527,0.001230187,,
YBP2,CilSm,CilSm,0.177707293,9.00475256,0.019734834,5.414034512,0.03282345,0.014273995,0.069381701,0.007705009,,
YBP2,FlagSm,FlagSm,0.046953605,9.00475256,0.005214314,5.414034512,0.008672572,0.014273995,0.252415887,0.028031407,,
YBP2,ChlLg,Other,0.497410548,9.00475256,,5.414034512,0.091874285,0.014273995,0.099935238,0.011098055,,1
,,,,,,,,0.601241897,0.194649094,0.021616262,,
,,,,,,,,0.601241897,0,0,,
,,,,,,,,0.601241897,0.011077527,0.001230187,,
,,,,,,,,0.601241897,0.069381701,0.007705009,,
,,,,,,,,0.601241897,0.252415887,0.028031407,,
,,,,,,,,0.601241897,0.099935238,0.011098055,,
,,,,,,,,0.601241897,0.024637877,0.002736097,,
,,,,,,,,0.601241897,0.003391617,0.000376647,,
,,,,,,,,0.601241897,0.060215003,0.006687025,,
