"","samp_date","samp_ev","exp","rep","Group","type","shp","sa","la","wi","counts","pres_fact","vol_set_ml","n_bugs","time_d","mag","propCntd"
"1",2019-09-03,"SJR2","site","N/A","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.889,18,24,1,"100x",1
"2",2019-09-05,"SJR2","FC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.915,25,24,1,"100x",1
"3",2019-09-05,"SJR2","T24","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.915,25,24,1,"100x",1
"4",2019-09-05,"SJR2","FC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.914,25,24,1,"100x",1
"5",2019-09-05,"SJR2","T24","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.919,25,24,1,"100x",1
"6",2019-09-05,"SJR2","FC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,25,24,1,"100x",1
"7",2019-09-05,"SJR2","T24","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,25,24,1,"100x",1
"8",2019-09-04,"SJR2","IC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.915,25,24,1,"100x",1
"9",2019-09-04,"SJR2","IC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.919,25,24,1,"100x",1
"10",2019-09-04,"SJR2","IC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,25,24,1,"100x",1
"11",2019-07-30,"YBP1","site","N/A","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.898,16,24,1,"100x",1
"12",2019-08-01,"YBP1","FC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.907,25,24,1,"100x",1
"13",2019-08-01,"YBP1","T24","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.919,26,24,1,"100x",1
"14",2019-08-01,"YBP1","FC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.911,26,24,1,"100x",1
"15",2019-08-01,"YBP1","T24","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.911,25,24,1,"100x",1
"16",2019-08-01,"YBP1","FC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,27,24,1,"100x",1
"17",2019-08-01,"YBP1","T24","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,25,24,1,"100x",1
"18",2019-07-31,"YBP1","IC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.902,26,24,1,"100x",1
"19",2019-07-31,"YBP1","IC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.907,25,24,1,"100x",1
"20",2019-07-31,"YBP1","IC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.904,25,24,1,"100x",1
"21",2019-08-18,"LSZ2","site","N/A","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.902,18,24,1,"100x",1
"22",2019-08-20,"LSZ2","FC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,25,24,1,"100x",1
"23",2019-08-20,"LSZ2","T24","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.922,24,24,1,"100x",1
"24",2019-08-20,"LSZ2","FC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.912,25,24,1,"100x",0.81
"25",2019-08-20,"LSZ2","T24","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.914,25,24,1,"100x",1
"26",2019-08-20,"LSZ2","FC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.914,25,24,1,"100x",1
"27",2019-08-20,"LSZ2","T24","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.915,25,24,1,"100x",1
"28",2019-08-19,"LSZ2","IC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,25,24,1,"100x",1
"29",2019-08-19,"LSZ2","IC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,25,24,1,"100x",1
"30",2019-08-19,"LSZ2","IC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.922,27,24,1,"100x",1
"31",2019-08-13,"WLD2","site","N/A","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.902,17,24,1,"100x",1
"32",2019-08-15,"WLD2","FC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.904,24,24,1,"100x",1
"33",2019-08-15,"WLD2","T24","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.906,26,24,1,"100x",1
"34",2019-08-15,"WLD2","FC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.906,25,24,1,"100x",1
"35",2019-08-15,"WLD2","T24","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.906,25,24,1,"100x",1
"36",2019-08-15,"WLD2","FC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.909,25,24,1,"100x",1
"37",2019-08-15,"WLD2","T24","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.907,27,24,1,"100x",1
"38",2019-08-14,"WLD2","IC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,26,24,1,"100x",1
"39",2019-08-14,"WLD2","IC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.907,25,24,1,"100x",1
"40",2019-08-14,"WLD2","IC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.915,25,24,1,"100x",0.5
"41",2019-07-23,"SJR1","site","N/A","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.901,21,24,1,"100x",1
"42",2019-07-25,"SJR1","FC","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.919,18,24,1,"100x",0.89
"43",2019-07-25,"SJR1","T24","1","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.918,22,24,1,"100x",1
"44",2019-07-25,"SJR1","FC","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,22.5,24,1,"100x",0.55
"45",2019-07-25,"SJR1","T24","2","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,22,24,1,"100x",1
"46",2019-07-25,"SJR1","FC","3","chlorophyte","actinastrum","cones2",2.5,12.5,NA,0,0.917,25,24,1,"100x",0.6
