Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1-site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2-T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Chlorophyte Y: Actinastrum,chlorophyte,actinastrum,chlorw,cones2,2.4,12.6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte Z: Colonial,chlorophyte,colonial,chlorz,sph,24,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AA: Colonial,chlorophyte,colonial,chloraa,sph,32,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AB: Colonial,chlorophyte,colonial,chlorab,sph,32,104,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AC: Colonial,chlorophyte,colonial,chlorac,sph,40,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AD: Colonial,chlorophyte,colonial,chlorad,sph,64,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AE: Other,chlorophyte,other,chlorae,sph,16,16,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AF: Pediastrum,chlorophyte,pediastrum,chloraf,prisell,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AG: Pediastrum,chlorophyte,pediastrum,chlorag,prisell,40,40,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AH:  Scenedesmus,chlorophyte,scenedesmus,chlorah,prosph,12,16,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
