,samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml
1,YBP2,site,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,2.5,12.5,NA,50,20.66949226
2,YBP2,IC,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,2.5,12.5,NA,80,8.755685721
3,YBP2,FC,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,2.5,12.5,NA,50,12.56123689
4,YBP2,T24,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,2.5,12.5,NA,10,3.216438363
5,SJR1,FC,chlorophyte colonial,chlorophyte colonial 8 8,8,8,NA,6,10.73292498
6,SJR1,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,NA,1,5.627631553
7,SJR1,FC,chlorophyte colonial,chlorophyte colonial 24 24,24,24,NA,2,76.03163324
8,SJR1,T24,chlorophyte colonial,chlorophyte colonial 32 32,32,32,NA,1,101.3437342
9,YBP1,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,NA,4,20.91327443
10,WLD2,site,chlorophyte colonial,chlorophyte colonial 6 12,6,12,NA,100,90.15255585
11,WLD2,IC,chlorophyte colonial,chlorophyte colonial 6 6,6,6,NA,2,2.245376939
12,WLD2,IC,chlorophyte colonial,chlorophyte colonial 6 12,6,12,NA,2,1.472170073
13,WLD2,IC,chlorophyte colonial,chlorophyte colonial 16 16,16,16,NA,1,12.1687155
14,WLD2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,NA,2,6.512454532
15,WLD2,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,NA,2,11.40046312
16,WLD2,T24,chlorophyte colonial,chlorophyte colonial 8 8,8,8,NA,1,1.681182545
17,LSZ2,site,chlorophyte colonial,chlorophyte colonial 6 6,6,6,NA,3,4.629360592
18,LSZ2,IC,chlorophyte colonial,chlorophyte colonial 32 104,32,104,NA,1,89.08533741
19,LSZ2,IC,chlorophyte colonial,chlorophyte colonial 40 40,40,40,NA,1,167.0327902
20,LSZ2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,NA,4,12.37674427
21,LSZ2,FC,chlorophyte colonial,chlorophyte colonial 32 32,32,32,NA,1,89.18248609
22,LSZ2,T24,chlorophyte colonial,chlorophyte colonial 4 4,4,4,NA,2,0.489655333
23,SJR2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,NA,13,37.51570699
24,YBP2,site,chlorophyte colonial,chlorophyte colonial 4 4,4,4,NA,8,3.066702372
25,YBP2,site,chlorophyte colonial,chlorophyte colonial 4 10,4,10,NA,2,0.834328919
26,YBP2,site,chlorophyte colonial,chlorophyte colonial 4 16,4,16,NA,1,0.435181206
27,YBP2,site,chlorophyte colonial,chlorophyte colonial 8 8,8,8,NA,2,5.879478345
28,YBP2,site,chlorophyte colonial,chlorophyte colonial 10 10,10,10,NA,3,16.13184327
29,YBP2,site,chlorophyte colonial,chlorophyte colonial 16 16,16,16,NA,18,326.1174286
30,YBP2,site,chlorophyte colonial,chlorophyte colonial 24 24,24,24,NA,6,364.2555921
31,YBP2,IC,chlorophyte colonial,chlorophyte colonial 4 16,4,16,NA,42,10.68659419
32,YBP2,IC,chlorophyte colonial,chlorophyte colonial 6 6,6,6,NA,47,64.21541945
