samp_ev,exp,grp_esd,mn_ct_ml
LSZ2,FC,chlorophyte colonial 10.00,0.17448200654307525
LSZ2,FC,chlorophyte colonial 32.00,0.04362050163576881
LSZ2,FC,chlorophyte scenedesmus 15.77,0.13157894736842105
LSZ2,FC,chlorophyte scenedesmus 4.58,0.13107626667684796
LSZ2,FC,ciliate cone 19.05,8.383149481768966
LSZ2,FC,ciliate cone 26.42,0.08724100327153762
LSZ2,FC,ciliate cone 33.74,0.1094571768589965
LSZ2,FC,ciliate oblong 44.75,0.0437636761487965
LSZ2,FC,ciliate round 14.00,0.7874309704528971
LSZ2,FC,ciliate round 24.00,0.39294245100448855
LSZ2,FC,ciliate round 5.50,0.10919442860244971
LSZ2,FC,ciliate round 9.50,1.1075684838512616
LSZ2,FC,cyanobacteria aphanizomenon 19.73,0.5234460196292258
LSZ2,FC,diatom centric 10.87,14.98799113306007
LSZ2,FC,diatom centric 16.03,2.0142220295366786
LSZ2,FC,diatom centric 28.05,27.65241042037502
LSZ2,FC,diatom centric 45.79,0.5234460196292258
LSZ2,FC,diatom centric 6.30,7.384106197308796
LSZ2,FC,diatom chain 11.54,0.13157894736842105
LSZ2,FC,diatom chain 22.58,0.2631578947368421
LSZ2,FC,diatom chain 23.75,0.04362050163576881
LSZ2,FC,diatom chain 26.94,0.20386494713797426
LSZ2,FC,diatom chain 30.24,0.04362050163576881
LSZ2,FC,diatom chain 33.96,0.0437636761487965
LSZ2,FC,diatom pennate 20.52,0.04362050163576881
LSZ2,FC,diatom pennate 3.11,1.4912280701754386
LSZ2,FC,diatom pennate 4.93,2.7967947999016864
LSZ2,FC,diatom pennate 6.46,0.6578947368421052
LSZ2,FC,diatom pennate fragillaria 78.92,0.04362050163576881
LSZ2,FC,diatom pennate pleurosigma 35.56,0.13086150490730644
LSZ2,FC,dinoflagellate peridinium 20.00,0.42273157601829137
LSZ2,FC,flagellate cryptomonas 10.43,2.5648215630417406
LSZ2,FC,flagellate cryptomonas 11.54,0.7017543859649122
LSZ2,FC,flagellate cryptomonas 18.32,0.7202393877857823
LSZ2,FC,flagellate cryptomonas 4.20,19.920766373257994
LSZ2,FC,flagellate cryptomonas 7.25,5.64489216063583
LSZ2,FC,flagellate other 10.43,0.043692088892282654
LSZ2,FC,flagellate other 4.20,5.832039983255001
LSZ2,FC,flagellate other 7.25,0.8892121409363577
LSZ2,FC,tintinnid agglutinated 25.20,0.26258205689277897
LSZ2,FC,tintinnid agglutinated 31.83,0.284370276837131
LSZ2,FC,unidentified flagchloro 7.05,1.0940919037199124
LSZ2,FC,unidentified flagchloro 8.55,1.245575771489793
LSZ2,FC,unidentified NA 25.20,0.04362050163576881
LSZ2,FC,unidentified round 16.00,0.04362050163576881
LSZ2,FC,unidentified round 24.50,0.3489640130861505
LSZ2,FC,unidentified round 5.50,5.102178109959393
LSZ2,FC,unidentified round 9.50,0.9177675021457687
LSZ2,IC,chlorophyte colonial 32.00,0.04357298474945534
LSZ2,IC,chlorophyte colonial 40.00,0.04357298474945534
LSZ2,IC,chlorophyte pediastrum 45.79,0.04017032216598377
LSZ2,IC,chlorophyte scenedesmus 4.58,0.20085161082991884
LSZ2,IC,chlorophyte scenedesmus 8.62,0.08714596949891068
LSZ2,IC,ciliate cone 19.05,2.261510372607306
LSZ2,IC,ciliate round 14.00,0.24010825507997044
LSZ2,IC,ciliate round 24.00,0.08714596949891068
LSZ2,IC,ciliate round 5.50,0.09940185602641474
LSZ2,IC,ciliate round 9.50,0.20992537771917638
LSZ2,IC,cyanobacteria aphanizomenon 12.43,0.4357298474945534
LSZ2,IC,diatom centric 10.87,14.41241845818427
LSZ2,IC,diatom centric 16.03,1.496257858811557
LSZ2,IC,diatom centric 28.05,27.70410068100511
LSZ2,IC,diatom centric 6.30,3.460035255365101
LSZ2,IC,diatom chain 15.66,0.2410219329959026
LSZ2,IC,diatom chain 24.00,0.4357298474945534
LSZ2,IC,diatom chain 26.78,0.21276092987206932
LSZ2,IC,diatom pennate 16.29,0.08544463820717489
LSZ2,IC,diatom pennate 18.64,0.08714596949891068
LSZ2,IC,diatom pennate 24.00,0.10723113058190256
LSZ2,IC,diatom pennate 3.91,0.32136257732787016
LSZ2,IC,diatom pennate 4.58,2.265795206971678
LSZ2,IC,diatom pennate 4.93,5.4467176120870135
LSZ2,IC,diatom pennate fragillaria 26.42,0.04357298474945534
LSZ2,IC,diatom pennate fragillaria 60.48,0.04017032216598377
LSZ2,IC,diatom pennate pleurosigma 16.97,0.04017032216598377
LSZ2,IC,diatom pennate pleurosigma 9.93,0.04357298474945534
LSZ2,IC,dinoflagellate peridinium 21.25,0.522214188157789
LSZ2,IC,dinoflagellate peridinium 24.00,0.3485838779956427
LSZ2,IC,flagellate cryptomonas 10.43,2.101963304804528
LSZ2,IC,flagellate cryptomonas 11.54,1.6993464052287581
LSZ2,IC,flagellate cryptomonas 18.32,0.6866289538230331
LSZ2,IC,flagellate cryptomonas 4.20,19.136794912389316
LSZ2,IC,flagellate cryptomonas 7.25,6.5743851971575165
LSZ2,IC,flagellate other 10.43,0.30501089324618735
LSZ2,IC,flagellate other 4.20,5.388147707062258
LSZ2,IC,flagellate other 7.25,0.5315084979922715
