samp_date,samp_ev,exp,rep,Group,type,shp,sa,la,wi,counts,pres_fact,vol_set_ml,n_bugs,time_d,mag,tot_vol_um3,vol_per_org_um3,tot_biomass_pgc,bio_per_vol_pgc_ml,bio_per_vol_ugl,counts_per_ml,size,grp_typ,grp_sz,esd,grp_esd
2019-09-05,SJR2,FC,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.915,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-09-05,SJR2,T24,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.915,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-09-05,SJR2,FC,2,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.914,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-09-05,SJR2,T24,2,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.919,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-09-05,SJR2,FC,3,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.918,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-09-05,SJR2,T24,3,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.917,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,FC,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.907,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,T24,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.919,26,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,FC,2,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.911,26,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,T24,2,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.911,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,FC,3,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.918,27,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-01,YBP1,T24,3,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.918,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-20,LSZ2,FC,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.917,25,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
2019-08-20,LSZ2,T24,1,chlorophyte,actinastrum,cones2,2.5,12.5,NA,0,0.922,24,24,1,100x,0,NA,NA,NA,NA,0,2.5 12.5,chlorophyte actinastrum,chlorophyte actinastrum 2.5 12.5,NaN,chlorophyte actinastrum NaN
